year,faculty_name,department_name,pure_id,wos_id,doi,issued,doctype,language,title,abstract,keywords,subjects
2020,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),27428895,WOS:000533149500005,10.1111/medu.14173,2020-06-01,Editorial material,English,Supporting the balance between well-being and performance in medical education,The author reflects on how clinician teachers can support the balance between well-being and performance for trainees as stress-related threats to performance can hamper patient care quality.,,Health Care Sciences & Services
2020,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),27354150,WOS:000538251500015,10.1007/s11205-019-02254-1,2020-06-01,Article,English,The More the Merrier? The Causal Effect of High Fertility on Later-Life Loneliness in Eastern Europe,"Levels of later-life loneliness are high in Eastern Europe. We assess whether having more children is protective against later-life loneliness for Eastern-European mothers and fathers. Drawing on Generations and Gender Surveys data of 25,479 parents aged 50-80 from eight Eastern-European countries, we adopt an instrumental approach exploiting parents' preference for mixed-sex offspring to estimate the causal effect of having additional children on feelings of loneliness. We find that having an additional child has a causal protective effect against loneliness for mothers. Ordinary least squares regression models also show a weak but statistically significant negative association between number of children and later-life loneliness among fathers. However, results of the instrumental variable analyses are inconclusive for this group. We thus do not find statistically significant causal evidence that having an additional child is protective against loneliness for fathers. Our results underline the importance of addressing reverse causality and selection bias when investigating the links between number of children and later-life loneliness, particularly among women. The causal evidence presented here suggests that the trend towards families with fewer children noted in several Eastern-European countries may place new cohorts of older Eastern-Europeans, and in particular Eastern-European women, at risk of stronger feelings of loneliness.",Instrumental variable,Sociology
2020,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),27431345,WOS:000541983900001,10.1080/13607863.2020.1774739,2020-05-30,Early Access,English,Is having more children beneficial for mothers' mental health in later life? Causal evidence from the national health and aging trends study,"Objectives:Members of the baby boom cohorts had fewer children than their parents. Given that adult children are an important source of social support in later life, this may have implications for the mental health of new cohorts of older people. This study investigates whether having additional children protects white mothers aged 65 and older against mental health problems. Method:Data are from Wave 1 and Wave 5 of the National Health and Aging Trends Study (n = 3,845). An instrumental variable approach exploiting the preference for mixed-sex offspring is used to estimate the causal effect of additional children on the risk of elevated depression and anxiety symptomatology. Results:The estimated instrumental variable model shows that additional children reduce the risk of suboptimal mental health among white mothers aged 65 and older. Conclusion:Results suggest that declines in higher-order births may put new cohorts of older women at increased risk of suboptimal mental health.",epidemiology (mental health),Psychiatry
2020,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),27547298,WOS:000538831400001,10.1186/s12877-020-01584-x,2020-05-27,Article,English,Relationships of self-management abilities to loneliness among older people: a cross-sectional study,"Background We investigated relationships of broader self-management abilities (self-efficacy, positive frame of mind, investment behavior, taking initiatives, multifunctionality of resources, variety of resources) to social and emotional loneliness among community-dwelling older people while controlling for background characteristics. Methods This cross-sectional study employed a representative sample of 41,327 community-dwelling people aged >= 55 years in Limburg, the Netherlands, identified using the population register (weighted per district, complex sampling design). In total, 20,327 (50%) people responded to the questionnaire. Results All self-management abilities were associated negatively with emotional loneliness. Taking initiatives, multifunctionality, self-efficacy, and a positive frame of mind were associated negatively with social loneliness. Self-efficacy had the strongest relationships with social and emotional loneliness. Conclusions In combatting loneliness among older people, investment in their ability to self-manage their social lives and activities, such as increasing opportunities for positive social interaction and social support and reducing maladaptive cognition, seems to be crucial.",Older people,Geriatrics & Gerontology
2020,Erasmus School of Health Policy & Management,Health Economics (HE),27547396,WOS:000535996500001,10.1177/0272989X20923015,2020-05-26,Article,English,Happy with Your Capabilities? Valuing ICECAP-O and ICECAP-A States Based on Experienced Utility Using Subjective Well-Being Data,"Background. The ICECAP-O and the ICECAP-A are validated capability well-being instruments. To be used in economic evaluations, multidimensional instruments require weighting of the distinguished well-being states. These weights are usually obtained through ex ante preference elicitation (i.e., decision utility) but could also be based on experienced utility. Objective. This article describes the development of value sets for ICECAP-O and ICECAP-A based on experienced utility and compares them with current decision utility weights. Methods. Data from 2 cross-sectional samples corresponding to the target groups of ICECAP-O and ICECAP-A were used in 2 separate analyses. The utility impacts of ICECAP-O and ICECAP-A levels were assessed through regression models using a composite measure of subjective well-being as a proxy for experienced utility. The observed utility impacts were rescaled to match the 0 to 1 range of the existing value set. Results. The calculated experienced utility values were similar to the decision utility weights for some of the ICECAP dimensions but deviated for others. The largest differences were found for weights of the ICECAP-O dimension enjoyment and the ICECAP-A dimensions attachment and autonomy. Conclusions. The results suggest a different weighting of ICECAP-O and ICECAP-A levels if experienced utility is used instead of decision utility.",decision utility,Medical Informatics
2019,Erasmus School of Health Policy & Management,Health Services Management & Organisation (HSMO),27472355,WOS:000533789700001,10.2196/16921,2020-05-19,Article,English,Adopting Patient Portals in Hospitals: Qualitative Study,"Conclusions: Asking stakeholders what they have learned from their efforts to stimulate patient portal use in hospitals elicited rich insights into the adoption process. These insights are missing in the theoretical models. Therefore, our findings help to translate the relatively abstract factors one finds in theoretical models to the everyday pragmatics of eHealth projects in hospitals.",eHealth,Medical Informatics
2020,Erasmus School of Health Policy & Management,Health Services Management & Organisation (HSMO),27441889,WOS:000536217800005,10.1186/s12913-020-05306-2,2020-05-14,Article,English,"Adaptive design: adaptation and adoption of patient safety practices in daily routines, a multi-site study","BackgroundMost interventions to improve patient safety (Patient Safety Practices (PSPs)), are introduced without engaging front-line professionals. Administrative staff, managers and sometimes a few professionals, representing only one or two disciplines, decide what to change and how. Consequently, PSPs are not fully adapted to the professionals' needs or to the local context and as a result, adoption is low. To support adoption, two theoretical concepts, Participatory Design and Experiential Learning were combined in a new model: Adaptive Design. The aim was to explore whether Adaptive Design supports adaptation and adoption of PSPs by engaging all professionals and creating time to (re) design, reflect and learn as a team. The Time Out Procedure (TOP) and Debriefing (plus) for improving patient safety in the operating theatre (OT) was used as PSP.MethodsQualitative exploratory multi-site study using participatory action research as a research design. The implementation process consisted of four phases: 1) start-up: providing information by presentations and team meetings, 2) pilot: testing the prototype with 100 surgical procedures, 3) small scale implementation: with one or two surgical disciplines, 4) implementation hospital-wide: including all surgical disciplines. In iterations, teams (re) designed, tested, evaluated, and if necessary adapted TOPplus. Gradually all professionals were included. Adaptations in content, process and layout of TOPplus were measured following each iteration. Adoption was monitored until final implementation in every hospital's OT.Results10 Dutch hospitals participated. Adaptations varied per hospital, but all hospitals adapted both procedures. Adaptations concerned the content, process and layout of TOPplus. Both procedures were adopted in all OTs, but user participation and time to include all users varied between hospitals. Ultimately all users were actively involved and TOPplus was implemented in all OTs.ConclusionsEngaging all professionals in a structured bottom-up implementation approach with a focus on learning, improves adaptation and adoption of a PSP. As a result, all 10 participating hospitals implemented TOPplus with all surgical disciplines in all OTs. Adaptive Design gives professionals the opportunity to adapt the PSP to their own needs and their specific local context. All hospitals adapted TOPplus, but without compromising the essential features for its effectiveness.",Learn,Health Care Sciences & Services
2020,Erasmus School of Health Policy & Management,Health Care Governance (HCG),35190044,WOS:000535622900006,10.1186/s12955-020-01370-8,2020-05-12,Article,English,The impact of type 1 diabetes on young adults' health-related quality of life,"BackgroundYoung adulthood is a challenging period for people with diabetes mellitus type 1 (T1DM) as they are facing multiple life transitions while managing a demanding disease. This poses a risk for impaired health-related quality of life (HRQOL). We assessed HRQOL in a cohort of young adults with T1DM in the Netherlands, and compared outcomes with those of Dutch norm groups of healthy young adults and young adults with a chronic disease.MethodsWe analyzed data collected in a larger evaluation study on transitional care for young adults with T1DM in a nationwide sample in the Netherlands, including twelve participating hospitals. These data had been obtained from online questionnaires completed by young adults with T1DM after they had transferred to adult care. HRQOL was self-reported with the Pediatric Quality of Life Inventory for young adults (PedsQL-YA).ResultsOne hundred and sixty-five young adults with T1DM participated (44.2% response); and they scored significantly worse than did healthy peers on all domains of HRQOL, except social functioning. Particularly, functioning at school or work was worse than that of the norm group. The study group's HRQOL-scores were comparable to norm scores of young adults with chronic diseases, although the physical and social functioning of young people with T1DM was better. One quarter (26.1%) of all young adults with T1DM reported fatigue.ConclusionsDuring transition to adulthood, young adults with T1DM struggle to maintain a balance between the demands of managing a disease and their life. Many of them encounter problems at work or school, and suffer from fatigue. These findings underscore the need to regularly assess HRQOL, and to discuss work- and education-related issues in clinical practice.",Young adults,Health Care Sciences & Services
2020,Erasmus School of Health Policy & Management,Health Care Governance (HCG),27579694,WOS:000530870500001,10.1108/JHOM-03-2020-0067,2020-05-07,Article,English,Disruptive life event or reflexive instrument? On the regulation of hospital mergers from a quality of care perspective,"Purpose Despite the continuation of hospital mergers in many western countries, it is uncertain if and how hospital mergers impact the quality of care. This poses challenges for the regulation of mergers. The purpose of this paper is to understand: how regulators and hospitals frame the impact of merging on the quality and safety of care and how hospital mergers might be regulated, given their uncertain impact on quality and safety of care. Design/methodology/approach This paper studies the regulation of hospital mergers in The Netherlands. In a qualitative study design, it draws on 30 semi-structured interviews with inspectors from the Dutch Health and Youth Care Inspectorate (Inspectorate) and respondents from three hospitals that merged between 2013 and 2015. This paper draws from literature on process-based regulation to understand how regulators can monitor hospital mergers. Findings This paper finds that inspectors and hospital respondents frame the process of merging as potentially disruptive to daily care practices. While inspectors emphasise the dangers of merging, hospital respondents report how merging stimulated them to reflect on their care practices and how it afforded learning between hospitals. Although the Inspectorate considers mergers a risk to quality of care, their regulatory practices are hesitant. Originality/value This qualitative study sheds light on how merging might affect key hospital processes and daily care practices. It offers opportunities for the regulation of hospital mergers that acknowledges rather than aims to dispel the uncertain and potentially ambiguous impact of mergers on quality and safety of care.",Mergers,Health Care Sciences & Services
2020,Erasmus School of Health Policy & Management,Health Systems and Insurance (HSI),27547054,WOS:000532422300001,10.1186/s12913-020-05228-z,2020-05-05,Article,English,Does the chronically ill population in the Netherlands switch their health insurer as often as the general population? Empirical evidence from a nationwide survey study,"Background Consumer mobility is an important aspect of a health insurance system based on managed competition. Both the general population and insured with a chronic illness should enjoy an equal opportunity to switch their insurer every year. We studied possible differences in the rates of switching between these two groups in the Netherlands. Methods A structured questionnaire was sent to 1500 members of Nivel's Dutch Health Care Consumer Panel (response rate: 47%) and to 1911 chronically ill members of the National Panel of the Chronically ill and Disabled (response rate: 84%) in February 2016. Associations between switching and background characteristics were estimated using logistic regression analyses with interaction effects. Results In general, we did not find significant differences in switching rates between the general population and chronically ill population. However, a combination of the population and background characteristics demonstrated that young insured with a chronic illness switched significantly less often than young insured from the general population (1% versus 17%). Conclusions Our results demonstrated that the group of young people with a chronic illness is less inclined to switch insurer. This observation suggests that this group might either face difficulties or barriers which prevents them from switching, or that they experience a high level of satisfaction with their current insurer. Further research should therefore focus on unravelling the mechanisms which explain the differences in switching rates.",Health system reform,Health Care Sciences & Services
2020,Erasmus School of Health Policy & Management,,27580008,WOS:000530557700001,10.1111/1471-0528.16243,2020-05-05,Review,English,Challenges in economic evaluations in obstetric care: a scoping review and expert opinion,Tweetable abstract Non-adherence to guidelines in obstetric economic evaluation studies: the difficulties in detail.,scoping review,Obstetrics & Gynecology
2020,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),27416707,WOS:000530469600001,10.1111/ejh.13427,2020-05-04,Article,English,Cost-effectiveness of Anti-CD19 chimeric antigen receptor T-Cell therapy in pediatric relapsed/refractory B-cell acute lymphoblastic leukemia. A societal view,"Discussion At the current price and WTP threshold, tisagenlecleucel is cost-effective from both a healthcare and a societal perspective. Nevertheless, long-term effectiveness data are needed to validate the several assumptions that were necessary for this model.",tisagenlecleucel,Hematology
2020,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),27421727,WOS:000527882000010,10.1016/j.ridd.2020.103629,2020-05-01,Article,English,Residents' and resident representatives' perspectives on the influence of the organisational environment on challenging behaviour,Conclusions: Residents' and representatives' perspectives provide a better understanding of the positive and negative influences of the organisational environment on challenging behaviour in people with ID.,Grounded theory,Rehabilitation
2020,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),35180797,WOS:000661531300001,10.1136/bcr-2019-230693,2020-05-01,Article,English,Night-time confusion in an elderly woman post-stroke,"For patients with acute ischaemic stroke, faster recanalisation improves the chances of a disability-free life and a quick discharge from the hospital. Hospital discharge, certainly after suffering a major life-changing event such as a stroke, is a complex and vulnerable phase in the patient's journey. Elderly are particularly vulnerable to the stressors caused by hospitalisation. Recently hospitalised patients are not only recovering from their acute illness; they also experience a period of generalised risk for a range of adverse events. At the same time, elderly generally prefer living in their own homes and should be discharged from the hospital and return home as quickly as possible. Both premature and delayed discharge are potential threats to patient well-being. We present a 90-year-old patient who underwent successful thrombectomy but suffered from night-time confusion at the hospital and discuss the transition process from hospital to home.",delirium,General & Internal Medicine
2020,Erasmus School of Health Policy & Management,,27488018,WOS:000561735400014,10.2340/00015555-3463,2020-05-01,Article,English,"Increasing Costs of Skin Cancer due to Increasing Incidence and Introduction of Pharmaceuticals, 2007-2017","Skin cancer is the most common type of cancer and its incidence is increasing. The objective of this study was to describe the trends in reimbursed drug and hospital costs of benign and (pre)malignant skin tumours, and to present future projections. Therefore, nationwide hospital and drug reimbursement data (for the period 2007-17) were used. In 2017, malignant skin tumours were the 4th most costly cancer in the Netherlands (after breast, colorectal, and lung cancer). The total costs for skin tumours increased from C278 million for 384,390 patients (in 2007) to C465 million for 578,355 patients (in 2017). Drug costs increased from C0.7 million to C121 million (over the period 2007-17), resulting in a 26% share of overall costs in 2017. Future costs are projected to reach C1.35 billion in 2030. In conclusion, the increasing costs of skin cancer are strongly affected by the increasing incidence and introduction of expensive drugs, and future projections are for an alarming increase.",health expenditure,Dermatology
2020,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),27439704,WOS:000539246000117,10.3390/cancers12051176,2020-05-01,Article,English,Surgery for Unresectable Stage IIIC and IV Melanoma in the Era of New Systemic Therapy,"Opportunities for surgical treatment in metastatic melanoma patients have re-emerged due to the development of novel systemic therapeutics over the past decade. The aim of this study is to present data on outcomes of surgery in patients with unresectable stage IIIC and IV melanoma, who have previously been treated with immunotherapy or targeted therapy. Data was extracted from the Dutch Melanoma Treatment Registry (DMTR) on 154 patients obtaining disease control to systemic therapy and undergoing subsequent surgery. Disease control was defined as a complete response (CR), which was seen in 3.2% of patients; a partial response (PR), seen in 46.1% of patients; or stable disease (SD), seen in 44.2% of patients. At a median follow-up of 10.0 months (interquartile range 4-22) after surgery, the median overall survival (OS) had not been reached in our cohort and median progression-free survival (PFS) was 9.0 months (95% CI 6.3-11.7). A CR or PR at first follow-up after surgery was associated with both a better OS and PFS compared to stable or progressive disease (p < 0.001). We conclude that selected patients can benefit from surgery after achieving disease control with systemic therapy.",Dutch Melanoma Treatment Registry,Oncology
2020,Erasmus School of Health Policy & Management,Health Economics (HE),27392076,WOS:000533509600004,10.1016/j.jhealeco.2020.102318,2020-05-01,Article,English,Living up to expectations: Experimental tests of subjective life expectancy as reference point in time trade-off and standard gamble,"Earlier work suggested that subjective life expectancy (SLE) functions as reference point in time trade-off (TTO), but has not tested or modelled this explicitly. In this paper we construct a model based on prospect theory to investigate these predictions more thoroughly. We report the first experimental test of reference-dependence with respect to SLE for TTO and extend this approach to standard gamble (SG). In two experiments, subjects' SLEs were used to construct different versions of 10-year TTO and SG tasks, with the gauge duration either described as occurring above or below life expectation. Our analyses suggest that both TTO and SG weights were affected by SLE as predicted by prospect theory with SLE as reference point. Subjects gave up fewer years in TTO and were less risk-tolerant in SG below SLE, implying that weights derived from these health state valuation methods for durations below SLE will be biased upwards. (C) 2020 The Authors. Published by Elsevier B.V.",Reference point,Health Care Sciences & Services
2020,Erasmus School of Health Policy & Management,Health Economics (HE),27578639,WOS:000528831400016,10.1016/j.wombi.2019.05.005,2020-05-01,Article,English,Giving birth after caesarean: Identifying shared preferences among pregnant women using Q methodology,Conclusions: Preferences for birth after caesarean vary considerably among pregnant women. The findings help to understand the different types of information valued by women who need to decide on their mode of birth after a first caesarean. (c) 2019 Australian College of Midwives. Published by Elsevier Ltd. All rights reserved.,Counseling,Obstetrics & Gynecology
2019,Erasmus School of Health Policy & Management,Law & Health Care (LHC),27470417,WOS:000537236000003,10.1163/15718093-12251008,2020-05-01,Article,English,Strasbourg Medical Expulsion Rulings: Beyond the Deathbed Requirement,"For decades, the European Court of Human Rights (ECtHR) has applied a restrictive interpretation on the Article 3 threshold in extradition cases. The removal of aliens from the contracting state is lawful unless the applicant faces an imminent risk of death (D v. the United Kingdom (St Kitts)). However, with the Paposhvili ruling the Court has lowered the deathbed requirement to a more favourable standard as confirmed in the latest Savran case. But will those facing medical expulsion really benefit from this new standard at national level?",Savran,Government & Law
2018,Erasmus School of Health Policy & Management,Health Care Governance (HCG),27125255,WOS:000532406600001,10.1177/0170840618800115,2020-05-01,Article,English,De- and Recoupling and Public Regulation,"We found that, by using system-based regulation, a regulator can identify several forms of decoupling that have not been recognized in earlier research. Interestingly, we found indications that, by applying SBR and thus recognizing decoupling, a process of recoupling was supported. With SBR the government can reclaim its influence on the meta level while maintaining the level of freedom of management at the organizational level. Instead of aiming for more or stricter regulation, the government could shift its role to meta-regulation, meaning that the public regulator redefines its role as an assessor and stimulator of the quality of governance in terms of self-regulation. Implications for theory and practice are discussed.",system-based regulation,Business & Economics
2020,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),27421633,WOS:000535745400225,10.3390/ijerph17093201,2020-05-01,Article,English,The Need for Co-Creation of Care with Multi-Morbidity Patients-A Longitudinal Perspective,"Background: Primary care delivery for multimorbid patients is complex, due to single disease-oriented guidelines, complex care needs, time constraints and the involvement of multiple healthcare professionals. Co-creation of care, based on the quality of communication and relationships between healthcare professionals and patients, may therefore be valuable. This longitudinal study investigates the relationships of co-creation of care to physical and social well-being and satisfaction with care among multimorbid patients in primary care. Methods: In 2017 and 2018, longitudinal surveys were conducted among multimorbid patients from seven primary care practices in Noord-Brabant, the Netherlands (n = 138, age = 73.50 +/- 9.99). Paired sample t-tests and multivariate regression analyses were performed. (3) Results: Co-creation of care improved significantly over time (t = 2.25, p = 0.026), as did social well-being (t = 2.31, p = 0.022) and physical well-being (t = 2.72, p = 0.007) but not satisfaction with care (t = 0.18, p = 0.858). Improvements in co-creation of care from T0 to T1 were associated with social well-being (B = 0.157, p = 0.002), physical well-being (B = 0.216, p = 0.000) and satisfaction with care (B = 0.240, p = 0.000). (4) Conclusions: Thus, investment in co-creation of care by primary care practices may lead to better outcomes for multimorbid patients.",satisfaction with care,"Public, Environmental & Occupational Health"
2020,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),27416816,WOS:000531351300013,10.1056/NEJMoa1915152,2020-04-30,Article,English,Anticoagulation with or without Clopidogrel after Transcatheter Aortic-Valve Implantation,"Conclusions In patients undergoing TAVI who were receiving oral anticoagulation, the incidence of serious bleeding over a period of 1 month or 1 year was lower with oral anticoagulation alone than with oral anticoagulation plus clopidogrel. (Funded by the Netherlands Organization for Health Research and Development; POPular TAVI EU Clinical Trials Register number, ; ClinicalTrials.gov number, .)",,General & Internal Medicine
2020,Erasmus School of Health Policy & Management,Health Services Management & Organisation (HSMO),27459378,WOS:000528776100001,10.2196/13780,2020-04-27,Review,English,Generative Participatory Design Methodology to Develop Electronic Health Interventions: Systematic Literature Review,Conclusions: Studies that have used a PD research methodology to develop eHealth primarily substantiate the choice of tools made and much less the use of stakeholders and outcome measures.,review,Medical Informatics
2020,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),27421678,WOS:000530335100001,10.1186/s12875-020-01144-7,2020-04-26,Article,English,Views of patients with multi-morbidity on what is important for patient-centered care in the primary care setting,"Background Patient-centered care (PCC) has been proposed as the way forward in improving primary care for patients with multi-morbidity. However, it is not clear what PCC exactly looks like in practice for patients with multi-morbidity. A better understanding of multi-morbid patients' views on what PCC should look like and which elements are most important may help to improve care delivery for this vulnerable population. The present study thus aimed to identify views of patients with multi-morbidity on the relative importance of PCC aspects in a Dutch primary care setting. Methods Interviews were conducted with 16 patients with multi-morbidity using Q-methodology, which combines quantitative and qualitative analyses. The participants ranked 28 statements about the eight dimensions of PCC (patients' preferences, information and education, access to care, emotional support, family and friends, continuity and transition, physical comfort, and coordination of care) by relative importance. By-person factor analysis using centroid factor extraction and varimax rotation were used to reveal factors that represent viewpoints. Qualitative interview data were used to interpret the viewpoints. Results The analyses revealed three factors representing three distinct viewpoints of patients with multi-morbidity on what is important for patient-centered care in the primary care setting. Patients with viewpoint 1 are prepared proactive patients who seem to be well-off and want to be in charge of their own care. To do so, they seek medical information and prefer to be supported by a strongly coordinated multidisciplinary team of healthcare professionals. Patients with viewpoint 2 are everyday patients who visit GPs and require well-coordinated, respectful, and supportive care. Patients with viewpoint 3 are vulnerable patients who are less resourceful in terms of communication skills and finances, and thus require accessible care and professionals taking the lead while treating them with dignity and respect. Conclusion The findings of this study suggest that not all patients with multi-morbidity require the same type of care delivery, and that not all aspects of PCC delivery are equally important to all patients.",Q-methodology,General & Internal Medicine
2020,Erasmus School of Health Policy & Management,Health Systems and Insurance (HSI),27413086,WOS:000527883100001,10.1002/cam4.3073,2020-04-23,Article,English,Simulating the impact of centralization of prostate cancer surgery services on travel burden and equity in the English National Health Service: A national population based model for health service re-design,"Conclusion The study provides an innovative simulation approach using national patient-level datasets, patient preferences based on actual hospital selections, and personal characteristics to inform health service planning. With this approach, we demonstrated for prostate cancer surgery that three different centralization scenarios would lead to similar number of center closures but to different increases in patient travel time, whilst all having a minimal impact on equity.",travel time,Oncology
2020,Erasmus School of Health Policy & Management,Health Economics (HE),27414282,WOS:000529964500002,10.1186/s12877-020-01526-7,2020-04-22,Article,English,Long-term care use after a stroke or femoral fracture and the role of family caregivers,"Background There has been a shift from institutional care towards home care, and from formal to informal care to contain long-term care (LTC) costs in many countries. However, substitution to home care or informal care might be harder to achieve for some conditions than for others. Therefore, insight is needed in differences in LTC use, and the role of potential informal care givers, across specific conditions. We analyze differences in LTC use of previously independent older patients after a fracture of femur and stroke, and in particular examine to what extent having a partner and children affects LTC use for these conditions. Methods Using administrative data on Dutch previously independent older people (55+) with a fracture of femur or stroke in 2013, we investigate their LTC use in the year after the condition takes place. We use administrative treatment data to select individuals who were treated by a medical specialist for a stroke or femoral fracture in 2013. Subsequent LTC use is measured as using no formal care, home care, institutional care or being deceased at 13 consecutive four-weekly periods after initial treatment. We relate long-term care use to having a partner, having children, other personal characteristics and the living environment. Results The probability to use no formal care 1 year after the initial treatment is equally high for both conditions, but patients with a fracture are more likely to use home care, while patients with a stroke are more likely to use institutional care or have died. Having a spouse has a negative effect on home care and institutional care use, but the timing of the effect, especially for institutional care, differs strongly between the two conditions. Having children also has a negative effect on formal care use, and this effect is consistently larger for patients with a fracture than patients with a stroke. Conclusion As the condition and the effect of potential informal care givers matter for subsequent long-term care use, policy makers should take the expected prevalence of specific conditions within the older people population into account when designing long-term care policies.",Stroke,Geriatrics & Gerontology
2020,Erasmus School of Health Policy & Management,Health Care Governance (HCG),35165812,WOS:000529288700001,10.1186/s12904-020-00560-x,2020-04-21,Article,English,Profiles of family caregivers of patients at the end of life at home: a Q-methodological study into family caregiver' support needs,"Background Family caregivers of patients at the end of life often experience care-related burden. To prevent caregiver burden and to enhance the capacity to provide care it is important to have insight in their support needs. The purpose of this study was to identify profiles of family caregivers who provide care to patients at the end of life at home. Methods A Q-methodological study was conducted in which family caregivers ranked 40 statements on support needs and experiences with caregiving. Thereafter they explained their ranking in an interview. By-person factor analysis was used to analyse the rankings and qualitative data was used to support the choice of profiles. A set of 41 family caregivers with a variety on background characteristics who currently or recently provided care for someone at the end of life at home were included. Results Four distinct profiles were identified; profile (1) those who want appreciation and an assigned contact person; profile (2) was bipolar. The positive pole (2+) comprised those who have supportive relationships and the negative pole (2-) those who wish for supportive relationships; profile (3) those who want information and practical support, and profile (4) those who need time off. The profiles reflect different support needs and experiences with caregiving. Conclusions Family caregivers of patients at the end of life have varying support needs and one size does not fit all. The profiles are relevant for healthcare professionals and volunteers in palliative care as they provide an overview of the main support needs among family caregivers of patients near the end of life. This knowledge could help healthcare professionals giving support.",Support needs,Health Care Sciences & Services
2020,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),27448535,WOS:000536491700017,10.1093/cid/ciz461,2020-04-15,Article,English,"A Test-and-Not-Treat Strategy for Onchocerciasis Elimination in Loa loa-coendemic Areas: Cost Analysis of a Pilot in the Soa Health District, Cameroon","Conclusions. TaNT clearly provides a safe strategy for large-scale ivermectin treatment and overcomes a major obstacle to the elimination of onchocerciasis in areas coendemic for Loa loa. Although it is more expensive than standard CDTI, costs vary depending on the setting, the implementation choices made by the institutions involved, and the community participation rate. Research on the required duration of TaNT is needed to improve the affordability assessment, and more experience is needed to understand how to implement TaNT optimally.",disease elimination,Microbiology
2020,Erasmus School of Health Policy & Management,Health Care Governance (HCG),35180940,WOS:000524970600001,10.1108/JHOM-06-2019-0189,2020-04-08,Article,English,Implementing population health management: an international comparative study,"Purpose The purpose of this paper is to gain insight into how population health management (PHM) strategies can successfully integrate and reorganize public health, health care, social care and community services to improve population health and quality of care while reducing costs growth, this study compared four large-scale transformation programs: Greater Manchester Devolution, Vancouver Healthy City Strategy, Gen-H Cincinnati and Gesundes Kinzigtal. Design/methodology/approach Following the realist methodology, this explorative comparative case-study investigated PHM initiatives' key features and participants' experiences of developing such initiatives. A semi-structured interview guideline based on a theoretical framework for PHM guided the interviews with stakeholders (20) from different sectors. Findings Five initial program theories important to the development of PHM were formulated: (1) create trust in a shared vision and understanding of the PHM rationale to establish stakeholders' commitment to the partnership; (2) create shared ownership for achieving the initiative's goals; (3) create shared financial interest that reduces perceived financial risks to provide financial sustainability; (4) create a learning environment to secure initiative's credibility and (5) create citizens' and professionals' awareness of the required attitudes and behaviours. Originality/value The study highlights initial program theories for the implementation of PHM including different strategies and structures underpinning the initiatives. These insights provide a deeper understanding of how large-scale transformation could be developed.",Population health management,Health Care Sciences & Services
2020,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),27509484,WOS:000525183700001,10.1111/bcp.14284,2020-04-07,Article,English,Expanded Access as a source of real-world data: An overview of FDA and EMA approvals,Conclusion Sponsors and regulators increasingly include real-world data from EA programmes in the efficacy profile of a treatment. The indications of the approved treatments are characterized by orphan designation and high unmet medical need.,health policy,Pharmacology & Pharmacy
2020,Erasmus School of Health Policy & Management,Health Care Governance (HCG),27543433,WOS:000523448000003,10.1186/s12913-020-05149-x,2020-04-03,Article,English,Exploring challenges in quality and safety work in nursing homes and home care - a case study as basis for theory development,"Background Management, culture and systems for better quality and patient safety in hospitals have been widely studied in Norway. Nursing homes and home care, however have received much less attention. An increasing number of people need health services in nursing homes and at home, and the services are struggling with fragmentation of care, discontinuity and restricted resource availability. The aim of the study was to explore the current challenges in quality and safety work as perceived by managers and employees in nursing homes and home care services. Method The study is a multiple explorative case study of two nursing homes and two home care services in Norway. Managers and employees participated in focus groups and individual interviews. The data material was analyzed using directed content analysis guided by the theoretical framework 'Organizing for Quality', focusing on the work needed to meet quality and safety challenges. Results Challenges in quality and safety work were interrelated and depended on many factors. In addition, they often implied trade-offs for both managers and employees. Managers struggled to maintain continuity of care due to sick leave and continuous external-facilitated change processes. Employees struggled with heavier workloads and fewer resources, resulting in less time with patients and poorer quality of patient care. The increased external pressure affected the possibility to work towards engagement and culture for improvement, and to maintain quality and safety as a collective effort at managerial and employee levels. Conclusion Despite contextual differences due to the structure, size, nature and location of the nursing homes and home care services, the challenges were similar across settings. Our study indicates a dualistic contextual dimension. Understanding contextual factors is central for targeting improvement interventions to specific settings. Context is, however, not independent from the work that managers do; it can be and is acted upon in negotiations and interactions to better support managers' and employees' work on quality and safety in nursing homes and home care.",Theory development,Health Care Sciences & Services
